Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Time Slot,Day of the Week,Request Status,Trip Duration (Mins.)
619,Airport,1,Trip Completed,11-07-2016 11:51,11-07-2016 13:00,Morning,Mon,Request Fullfilled,69
867,Airport,1,Trip Completed,11-07-2016 17:57,11-07-2016 18:47,Evening,Mon,Request Fullfilled,50
1807,City,1,Trip Completed,12-07-2016 09:17,12-07-2016 09:58,Morning,Tue,Request Fullfilled,41
2532,Airport,1,Trip Completed,12-07-2016 21:08,12-07-2016 22:03,Night,Tue,Request Fullfilled,55
3112,City,1,Trip Completed,13-07-2016 08:33,13-07-2016 09:25,Morning,Wed,Request Fullfilled,52.5
3879,Airport,1,Trip Completed,13-07-2016 21:57,13-07-2016 22:28,Night,Wed,Request Fullfilled,31.5
4270,Airport,1,Trip Completed,14-07-2016 06:15,14-07-2016 07:13,Morning,Thu,Request Fullfilled,57.7
5510,Airport,1,Trip Completed,15-07-2016 05:11,15-07-2016 06:07,Early Morning,Fri,Request Fullfilled,56
6248,City,1,Trip Completed,15-07-2016 17:57,15-07-2016 18:50,Evening,Fri,Request Fullfilled,53.4
267,City,2,Trip Completed,11-07-2016 06:46,11-07-2016 07:25,Morning,Mon,Request Fullfilled,39
1467,Airport,2,Trip Completed,12-07-2016 05:08,12-07-2016 06:02,Early Morning,Tue,Request Fullfilled,54
1983,City,2,Trip Completed,12-07-2016 12:30,12-07-2016 12:57,Afternoon,Tue,Request Fullfilled,27
2784,Airport,2,Trip Completed,13-07-2016 04:49,13-07-2016 05:23,Early Morning,Wed,Request Fullfilled,33.7
3075,City,2,Trip Completed,13-07-2016 08:02,13-07-2016 09:16,Morning,Wed,Request Fullfilled,73.4
3379,City,2,Trip Completed,13-07-2016 14:23,13-07-2016 15:35,Afternoon,Wed,Request Fullfilled,72.3
3482,Airport,2,Trip Completed,13-07-2016 17:23,13-07-2016 18:20,Evening,Wed,Request Fullfilled,57.6
4652,City,2,Trip Completed,14-07-2016 12:01,14-07-2016 12:36,Afternoon,Thu,Request Fullfilled,35.7
5335,Airport,2,Trip Completed,14-07-2016 22:24,14-07-2016 23:18,Night,Thu,Request Fullfilled,54.7
535,Airport,3,Trip Completed,11-07-2016 10:00,11-07-2016 10:31,Morning,Mon,Request Fullfilled,31
960,Airport,3,Trip Completed,11-07-2016 18:45,11-07-2016 19:23,Evening,Mon,Request Fullfilled,38
1934,Airport,3,Trip Completed,12-07-2016 11:17,12-07-2016 12:23,Morning,Tue,Request Fullfilled,66
2083,Airport,3,Trip Completed,12-07-2016 15:46,12-07-2016 16:40,Afternoon,Tue,Request Fullfilled,54
2211,Airport,3,Trip Completed,12-07-2016 18:00,12-07-2016 18:28,Evening,Tue,Request Fullfilled,28
3096,Airport,3,Trip Completed,13-07-2016 08:17,13-07-2016 09:22,Morning,Wed,Request Fullfilled,65.1
3881,Airport,3,Trip Completed,13-07-2016 21:54,13-07-2016 22:51,Night,Wed,Request Fullfilled,57.1
5254,City,3,Trip Completed,14-07-2016 21:23,14-07-2016 22:25,Night,Thu,Request Fullfilled,62.3
5434,City,3,Trip Completed,15-07-2016 02:41,15-07-2016 03:24,Late Night,Fri,Request Fullfilled,43.1
5916,City,3,Trip Completed,15-07-2016 10:00,15-07-2016 10:53,Morning,Fri,Request Fullfilled,52.4
669,City,4,Trip Completed,11-07-2016 13:08,11-07-2016 13:49,Afternoon,Mon,Request Fullfilled,41
1567,Airport,4,Trip Completed,12-07-2016 06:21,12-07-2016 07:10,Morning,Tue,Request Fullfilled,49
1826,City,4,Trip Completed,12-07-2016 09:27,12-07-2016 10:27,Morning,Tue,Request Fullfilled,60
2102,City,4,Trip Completed,12-07-2016 16:09,12-07-2016 17:01,Afternoon,Tue,Request Fullfilled,52
2847,Airport,4,Trip Completed,13-07-2016 05:34,13-07-2016 06:09,Early Morning,Wed,Request Fullfilled,35.6
3722,Airport,4,Trip Completed,13-07-2016 19:57,13-07-2016 20:32,Evening,Wed,Request Fullfilled,34.1
4075,City,4,Trip Completed,14-07-2016 02:17,14-07-2016 03:21,Late Night,Thu,Request Fullfilled,64.1
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,Afternoon,Thu,Request Fullfilled,44.3
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,Morning,Fri,Request Fullfilled,67.2
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,Afternoon,Fri,Request Fullfilled,46.2
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31,Morning,Mon,Request Fullfilled,64
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016 12:01,Morning,Mon,Request Fullfilled,58
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016 21:45,Evening,Mon,Request Fullfilled,47
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016 09:23,Morning,Tue,Request Fullfilled,43
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016 15:50,Afternoon,Tue,Request Fullfilled,62
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016 22:29,Night,Tue,Request Fullfilled,57
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,Morning,Wed,Request Fullfilled,61.6
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,Afternoon,Wed,Request Fullfilled,32.2
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,Morning,Thu,Request Fullfilled,66.6
